gene_id	reads_per_gene	transcript	reads_per_transcript
ENSG00000007392.17	41	ENST00000464711.5	1
ENSG00000007392.17	41	ENST00000495349.5	2
ENSG00000007392.17	41	ENST00000629543.2	4
ENSG00000007402.11	16	ENST00000266039.7	3
ENSG00000007402.11	16	ENST00000423994.6	1
ENSG00000007402.11	16	ENST00000424201.6	4
ENSG00000007402.11	16	ENST00000429770.5	1
ENSG00000007402.11	16	ENST00000479441.1	6
ENSG00000007402.11	16	ENST00000483620.1	1
ENSG00000007516.14	1	ENST00000421665.6	1
ENSG00000007520.4	2	ENST00000007390.3	2
ENSG00000007541.17	4	ENST00000321878.10	1
ENSG00000007541.17	4	ENST00000443147.5	1
ENSG00000007541.17	4	ENST00000635909.1	1
ENSG00000007541.17	4	ENST00000636657.1	1
ENSG00000007545.16	1	ENST00000293925.9	1
ENSG00000007866.21	7	ENST00000338863.12	5
ENSG00000007866.21	7	ENST00000639578.2	2
ENSG00000007923.16	93	ENST00000294401.11	4
ENSG00000007923.16	93	ENST00000377577.10	83
ENSG00000007923.16	93	ENST00000460594.5	1
ENSG00000007923.16	93	ENST00000465508.5	5
ENSG00000007944.15	12	ENST00000349606.4	7
ENSG00000007944.15	12	ENST00000356840.8	5
ENSG00000008018.9	89	ENST00000262193.7	87
ENSG00000008018.9	89	ENST00000462957.1	2
ENSG00000008083.14	111	ENST00000341776.7	27
ENSG00000008083.14	111	ENST00000397311.4	83
ENSG00000008083.14	111	ENST00000474854.1	1
ENSG00000008086.13	3	ENST00000463994.4	1
ENSG00000008086.13	3	ENST00000674046.1	2
ENSG00000008118.10	3	ENST00000361322.3	3
ENSG00000008128.23	11	ENST00000358779.9	5
ENSG00000008128.23	11	ENST00000378638.6	2
ENSG00000008128.23	11	ENST00000404249.8	4
ENSG00000008130.15	16	ENST00000341426.9	4
ENSG00000008130.15	16	ENST00000341991.7	4
ENSG00000008130.15	16	ENST00000342348.9	7
ENSG00000008130.15	16	ENST00000498806.1	1
ENSG00000008256.16	3	ENST00000350796.8	1
ENSG00000008256.16	3	ENST00000461891.5	1
ENSG00000008256.16	3	ENST00000465320.1	1
ENSG00000008277.14	4	ENST00000398204.8	1
ENSG00000008277.14	4	ENST00000398209.7	2
ENSG00000008277.14	4	ENST00000413139.1	1
ENSG00000008282.8	166	ENST00000455385.6	165
ENSG00000008282.8	166	ENST00000460770.1	1
ENSG00000008283.16	20	ENST00000360793.8	16
ENSG00000008283.16	20	ENST00000392976.5	3
ENSG00000008283.16	20	ENST00000581573.5	1
ENSG00000008294.21	31	ENST00000357122.8	7
ENSG00000008294.21	31	ENST00000505279.5	12
ENSG00000008294.21	31	ENST00000506500.1	2
ENSG00000008294.21	31	ENST00000510283.5	10
ENSG00000008300.17	14	ENST00000164024.5	2
ENSG00000008300.17	14	ENST00000461362.5	12
ENSG00000008311.15	335	ENST00000358954.6	9
ENSG00000008311.15	335	ENST00000393376.5	71
ENSG00000008311.15	335	ENST00000417368.7	237
ENSG00000008311.15	335	ENST00000431170.5	4
ENSG00000008311.15	335	ENST00000460376.5	13
ENSG00000008311.15	335	ENST00000473553.5	1
ENSG00000008323.15	7	ENST00000304581.8	1
ENSG00000008323.15	7	ENST00000396988.7	1
ENSG00000008323.15	7	ENST00000449001.6	5
ENSG00000008324.12	3	ENST00000011691.6	3
ENSG00000008382.16	1	ENST00000599840.6	1
ENSG00000008394.13	73	ENST00000396209.5	2
ENSG00000008394.13	73	ENST00000396210.8	70
ENSG00000008394.13	73	ENST00000539708.5	1
ENSG00000008405.12	82	ENST00000008527.10	82
ENSG00000008513.16	1	ENST00000522652.6	1
ENSG00000008517.18	1	ENST00000525643.7	1
ENSG00000008710.20	1	ENST00000480227.5	1
ENSG00000008838.20	75	ENST00000356271.7	2
ENSG00000008838.20	75	ENST00000394126.5	14
ENSG00000008838.20	75	ENST00000394128.7	32
ENSG00000008838.20	75	ENST00000501516.7	26
ENSG00000008838.20	75	ENST00000535071.6	1
ENSG00000008853.17	6	ENST00000251822.7	4
ENSG00000008853.17	6	ENST00000522948.5	2
ENSG00000008869.12	22	ENST00000233099.6	22
ENSG00000008952.17	136	ENST00000337002.9	123
ENSG00000008952.17	136	ENST00000470355.1	3
ENSG00000008952.17	136	ENST00000480708.5	8
ENSG00000008952.17	136	ENST00000481435.5	2
ENSG00000008988.10	11	ENST00000009589.8	9
ENSG00000008988.10	11	ENST00000518875.5	1
ENSG00000008988.10	11	ENST00000519807.5	1
ENSG00000009307.16	1896	ENST00000261443.9	77
ENSG00000009307.16	1896	ENST00000339438.10	1373
ENSG00000009307.16	1896	ENST00000358528.9	250
ENSG00000009307.16	1896	ENST00000369530.5	2
ENSG00000009307.16	1896	ENST00000438362.6	167
ENSG00000009307.16	1896	ENST00000483407.1	1
ENSG00000009307.16	1896	ENST00000530886.5	19
ENSG00000009307.16	1896	ENST00000534699.5	4
ENSG00000009307.16	1896	ENST00000610726.4	3
ENSG00000009335.18	37	ENST00000348165.10	22
ENSG00000009335.18	37	ENST00000470408.5	14
ENSG00000009335.18	37	ENST00000474153.1	1
ENSG00000009413.16	4	ENST00000434009.5	4
ENSG00000009780.16	3	ENST00000373949.5	1
ENSG00000009780.16	3	ENST00000373954.11	2
ENSG00000009830.12	2	ENST00000554767.5	2
ENSG00000009844.16	176	ENST00000367621.1	3
ENSG00000009844.16	176	ENST00000367630.9	162
ENSG00000009844.16	176	ENST00000620996.4	11
ENSG00000009954.11	26	ENST00000339594.9	4
ENSG00000009954.11	26	ENST00000404251.1	22
ENSG00000010017.13	9	ENST00000011619.6	8
ENSG00000010017.13	9	ENST00000469916.1	1
ENSG00000010030.14	1	ENST00000373738.4	1
ENSG00000010072.16	26	ENST00000295050.12	18
ENSG00000010072.16	26	ENST00000391858.8	5
ENSG00000010072.16	26	ENST00000469904.1	2
ENSG00000010072.16	26	ENST00000492437.1	1
ENSG00000010165.20	103	ENST00000361735.4	88
ENSG00000010165.20	103	ENST00000362019.7	11
ENSG00000010165.20	103	ENST00000367737.9	3
ENSG00000010165.20	103	ENST00000466643.1	1
ENSG00000010219.13	3	ENST00000010132.6	2
ENSG00000010219.13	3	ENST00000541024.1	1
ENSG00000010244.18	257	ENST00000321233.10	2
ENSG00000010244.18	257	ENST00000342555.10	3
ENSG00000010244.18	257	ENST00000394670.8	99
ENSG00000010244.18	257	ENST00000394673.6	133
ENSG00000010244.18	257	ENST00000578918.1	1
ENSG00000010244.18	257	ENST00000579810.2	3
ENSG00000010244.18	257	ENST00000581531.5	16
ENSG00000010256.11	1219	ENST00000203407.6	1206
ENSG00000010256.11	1219	ENST00000412343.5	1
ENSG00000010256.11	1219	ENST00000415995.5	12
ENSG00000010270.13	52	ENST00000009041.11	36
ENSG00000010270.13	52	ENST00000396013.5	10
ENSG00000010270.13	52	ENST00000434197.5	6
ENSG00000010278.14	122	ENST00000009180.10	118
ENSG00000010278.14	122	ENST00000382515.7	2
ENSG00000010278.14	122	ENST00000642746.1	1
ENSG00000010278.14	122	ENST00000646407.1	1
ENSG00000010292.13	198	ENST00000315579.10	119
ENSG00000010292.13	198	ENST00000539084.5	79
ENSG00000010295.19	6	ENST00000396830.2	3
ENSG00000010295.19	6	ENST00000487279.6	3
ENSG00000010318.21	1	ENST00000327906.8	1
ENSG00000010319.7	1	ENST00000231721.7	1
ENSG00000010322.16	31	ENST00000345716.9	20
ENSG00000010322.16	31	ENST00000420808.2	6
ENSG00000010322.16	31	ENST00000488380.5	1
ENSG00000010322.16	31	ENST00000489895.5	3
ENSG00000010322.16	31	ENST00000490425.1	1
ENSG00000010327.10	2	ENST00000321725.10	2
ENSG00000010361.14	8	ENST00000313777.9	5
ENSG00000010361.14	8	ENST00000377092.8	2
ENSG00000010361.14	8	ENST00000533418.5	1
ENSG00000010404.18	8	ENST00000340855.11	8
ENSG00000010539.12	27	ENST00000396870.8	3
ENSG00000010539.12	27	ENST00000414144.7	10
ENSG00000010539.12	27	ENST00000431561.7	8
ENSG00000010539.12	27	ENST00000575948.1	6
ENSG00000010610.10	1	ENST00000437800.6	1
ENSG00000010626.15	2	ENST00000007969.12	1
ENSG00000010626.15	2	ENST00000431207.5	1
ENSG00000010704.18	1	ENST00000486147.1	1
ENSG00000010803.16	5	ENST00000372597.5	1
ENSG00000010803.16	5	ENST00000397174.6	1
ENSG00000010803.16	5	ENST00000456518.3	1
ENSG00000010803.16	5	ENST00000472037.5	2
ENSG00000010810.17	8	ENST00000368667.6	1
ENSG00000010810.17	8	ENST00000368682.7	2
ENSG00000010810.17	8	ENST00000467921.6	2
ENSG00000010810.17	8	ENST00000538466.5	3
ENSG00000010818.10	1	ENST00000012134.7	1
ENSG00000011007.12	81	ENST00000609199.1	59
ENSG00000011007.12	81	ENST00000613537.4	22
ENSG00000011009.11	448	ENST00000374501.1	1
ENSG00000011009.11	448	ENST00000374502.7	5
ENSG00000011009.11	448	ENST00000374503.7	1
ENSG00000011009.11	448	ENST00000374514.8	438
ENSG00000011009.11	448	ENST00000492577.1	2
ENSG00000011009.11	448	ENST00000495365.5	1
