width	numreads.median	iread_fpkm_allintron_lwm	interest_fpkm_allintron_lwm	superintronic_score_allintron_lwm	kma_tpm_allintron_lwm	irfinders_irratio_allintron_lwm	majiq_meanpsi_allintron_lwm	rmats_inclvl_allintron_lwm	suppa2_psi_allintron_lwm	intron	transcript	intron_position_in_tx	max_intron_persistence	motif	canonical_motif	gene_id	long_reads_per_gene	long_reads_per_transcript	short_read_gene_median_coverage	IRFinder-S_true_positives	IRFinder-S_false_positives	IRFinder-S_false_negatives	superintronic_true_positives	superintronic_false_positives	superintronic_false_negatives	iREAD_true_positives	iREAD_false_positives	iREAD_false_negatives	kma_true_positives	kma_false_positives	kma_false_negatives	IntEREst_true_positives	IntEREst_false_positives	IntEREst_false_negatives	rMATS_true_positives	rMATS_false_positives	rMATS_false_negatives	MAJIQ_true_positives	MAJIQ_false_positives	MAJIQ_false_negatives	SUPPA2_true_positives	SUPPA2_false_positives	SUPPA2_false_negatives	chrom	left	right	total_overlapping_features	max_features_per_base	%_bases_overlapped	gc_fract
1524.0	8.5	0.0	142.0	12.0	0.0	0.00471983	0.0113	0.0	0.0	chr1:11020600-11022123	ENST00000611963.4	0.5	0.0	GTAG	1	ENSG00000120948.18	374.0	7.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	11020600	11022124	0	0	0.0	0.467191601049869
1524.0	8.5	0.0	142.0	12.0	0.0	0.00471983	0.0113	0.0	0.0	chr1:11020600-11022123	ENST00000315091.7	0.75	0.0	GTAG	1	ENSG00000120948.18	374.0	15.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	11020600	11022124	0	0	0.0	0.467191601049869
978.0	10.0	0.0	0.0	0.0	0.0	0.0	0.9745	0.0	0.0	chr1:11022178-11023155	ENST00000614494.1	0.5	1.0	ATAC	1	ENSG00000120948.18	374.0	10.0	1304.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	chr1	11022178	11023156	13	8	1.0	0.411042944785276
951.0	11.0	0.0	0.0	0.0	0.0	0.0	0.9745	0.98	0.0	chr1:11022242-11023192	ENST00000611963.4	0.75	1.0	GTAG	1	ENSG00000120948.18	374.0	7.0	1304.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	chr1	11022242	11023193	15	8	1.0	0.409043112513144
951.0	11.0	0.0	0.0	0.0	0.0	0.0	0.9745	0.98	0.0	chr1:11022242-11023192	ENST00000315091.7	1.0	1.0	GTAG	1	ENSG00000120948.18	374.0	15.0	1304.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	chr1	11022242	11023193	15	8	1.0	0.409043112513144
734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9825	0.98	0.0	chr1:11023330-11024063	ENST00000614494.1	1.0	0.5984126984126984	GTAG	1	ENSG00000120948.18	374.0	10.0	1304.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	chr1	11023330	11024064	9	7	1.0	0.42234332425068105
734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9825	0.98	0.0	chr1:11023330-11024063	ENST00000611963.4	1.0	0.5984126984126984	GTAG	1	ENSG00000120948.18	374.0	7.0	1304.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	chr1	11023330	11024064	9	7	1.0	0.42234332425068105
1259.0	13.0	0.9	16.0	1.0	0.06892369999999999	0.00249447	0.0	0.0	0.0	chr1:11066749-11068007	ENST00000376936.9	1.0	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11066749	11068008	0	0	0.0	0.535345512311358
560.0	13.0	3.28	22.0	4.0	0.0	0.0	0.0	0.0	0.0	chr1:11068085-11068644	ENST00000376936.9	0.9565217391304348	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11068085	11068645	1	1	0.3107142857142857	0.5303571428571429
852.0	16.0	0.0	25.0	4.0	0.0	0.0079886	0.0	0.0	0.0	chr1:11068707-11069558	ENST00000376936.9	0.9130434782608696	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11068707	11069559	2	2	0.2558685446009389	0.5363849765258221
1169.0	17.0	0.0	28.0	2.0	0.0	0.00529835	0.0	0.0	0.0	chr1:11069731-11070899	ENST00000376936.9	0.8695652173913043	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11069731	11070900	1	1	0.20615911035072712	0.4679213002566301
1762.0	18.0	1.54	19.0	2.0	0.0	0.0	0.0	0.0	0.0	chr1:11072172-11073933	ENST00000376936.9	0.7826086956521741	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11072172	11073934	3	3	0.5255391600454029	0.465947786606129
222.0	18.0	4.96	23.0	5.0	0.5552615	0.00990629	0.0	0.0	0.0	chr1:11074009-11074230	ENST00000376936.9	0.7391304347826086	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11074009	11074231	0	0	0.0	0.563063063063063
2515.0	18.0	0.9	31.0	1.0	0.1454105	0.00196196	0.0	0.0	0.0	chr1:11074327-11076841	ENST00000376936.9	0.6956521739130435	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11074327	11076842	0	0	0.0	0.485884691848907
2059.0	18.0	3.06	88.0	2.0	0.6142314	0.00882877	0.0	0.0	0.0	chr1:11077652-11079710	ENST00000376936.9	0.5652173913043478	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11077652	11079711	0	0	0.0	0.490529383195726
676.0	17.0	4.31	47.0	8.0	0.8760084	0.014529599999999997	0.0	0.0	0.0	chr1:11079823-11080498	ENST00000376936.9	0.5217391304347826	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11079823	11080499	0	0	0.0	0.42307692307692296
169.0	17.0	4.8	17.0	2.0	0.5032342000000001	0.00403226	0.0	0.0	0.0	chr1:11080913-11081081	ENST00000376936.9	0.43478260869565216	0.0	CTAC	1	ENSG00000171824.14	111.0	104.0	542.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11080913	11081082	0	0	0.0	0.4615384615384621
537.0	13.0	1.55	8.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1:111118268-111118804	ENST00000484310.5	1.0	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111118268	111118805	1	1	0.4562383612662943	0.32774674115456204
979.0	13.0	0.56	6.0	1.0	0.2664939	0.00749795	0.0	0.0	0.0	chr1:111118898-111119876	ENST00000484310.5	0.8571428571428571	0.07692307692307693	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111118898	111119877	1	1	0.06843718079673136	0.308478038815117
556.0	13.0	1.04	12.0	1.0	0.447626	0.0115136	0.0	0.0	0.0	chr1:111119960-111120515	ENST00000484310.5	0.7142857142857143	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111119960	111120516	0	0	0.0	0.33273381294964
4048.0	13.0	1.83	53.0	3.0	0.9513032	0.0237561	0.0	0.0	0.0	chr1:111120694-111124741	ENST00000484310.5	0.5714285714285714	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111120694	111124742	1	1	0.00691699604743083	0.359189723320158
1345.0	13.0	1.46	13.0	3.0	0.5981622	0.0237561	0.0	0.0	0.0	chr1:111124882-111126226	ENST00000484310.5	0.42857142857142855	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111124882	111126227	2	2	0.20297397769516728	0.33457249070632
5129.0	13.0	0.17	10.0	0.0	0.07870799	0.00271396	0.0	0.0	0.0	chr1:111126295-111131423	ENST00000484310.5	0.2857142857142857	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111126295	111131424	1	1	0.008773640085786703	0.355819847923572
5954.0	13.0	1.7	137.0	4.0	0.664736	0.0297846	0.0371	0.0	0.0	chr1:111131569-111137522	ENST00000484310.5	0.14285714285714285	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	111131569	111137523	0	0	0.0	0.4155189788377561
2451.0	13.0	1.44	33.0	4.0	0.4682057	0.0039968	0.0	0.0	0.0	chr1:111137587-111140037	ENST00000484310.5	0.0	0.0	CTAC	1	ENSG00000156171.14	16.0	13.0	102.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111137587	111140038	8	5	0.2427580579355365	0.4316605467156261
635.0	80.0	12.87	100.0	38.0	4.052	0.0512295	0.0504	0.0	0.0	chr1:111441390-111442024	ENST00000235090.10	1.0	0.04123785020011435	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	111441390	111442025	1	1	0.16692913385826771	0.4866141732283471
559.0	145.0	2.32	21.0	5.0	0.5374723000000001	0.00642304	0.0	0.0	0.0	chr1:111442094-111442652	ENST00000235090.10	0.875	0.0047169811320754715	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111442094	111442653	1	1	0.06440071556350628	0.45438282647585
561.0	80.0	5.87	52.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1:111442762-111443322	ENST00000235090.10	0.75	0.0	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111442762	111443323	0	0	0.0	0.413547237076649
472.0	79.5	5.45	57.0	5.0	0.4273776	0.00759755	0.0	0.0	0.0	chr1:111443395-111443866	ENST00000235090.10	0.625	0.006367924528301886	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111443395	111443867	0	0	0.0	0.466101694915254
132.0	79.5	27.2	87.0	1.5	0.0	0.00265223	0.0	0.0	0.0	chr1:111443922-111444053	ENST00000235090.10	0.5	0.0	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111443922	111444054	0	0	0.0	0.46969696969697
2970.0	79.5	1.4	57.0	3.0	0.0	0.00541048	0.0	0.0	0.0	chr1:111444125-111447094	ENST00000235090.10	0.375	0.0	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111444125	111447095	1	1	0.03737373737373737	0.40067340067340096
290.0	79.0	8.77	54.0	8.0	0.8500708	0.0163149	0.0	0.0	0.0	chr1:111447145-111447434	ENST00000235090.10	0.25	0.016686839919306994	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111447145	111447435	0	0	0.0	0.410344827586207
1042.0	77.5	6.52	100.0	10.0	1.590192	0.0324277	0.0523	0.0	0.0	chr1:111447577-111448618	ENST00000235090.10	0.125	0.019364015136532044	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	111447577	111448619	0	0	0.0	0.401151631477927
250.0	145.0	0.0	15.0	7.0	0.0	0.0	0.0	0.0	0.0	chr1:111448805-111449054	ENST00000235090.10	0.0	0.022392310430758282	CTAC	1	ENSG00000116455.14	160.0	159.0	609.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	111448805	111449055	2	2	0.58	0.684
344.0	7.0	12.84	75.0	21.0	3.016857	0.0279388	0.0	0.0	0.0	chr1:113979631-113979974	ENST00000369551.5	0.0	0.0	GTAG	1	ENSG00000116774.12	518.0	8.0	5.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	113979631	113979975	0	0	0.0	0.4593023255813951
205.0	7.0	9.07	27.0	31.0	0.0	0.0	0.0	0.078	0.0	chr1:113980127-113980331	ENST00000369551.5	0.5	0.18750000000000008	GTAG	1	ENSG00000116774.12	518.0	8.0	5.0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	chr1	113980127	113980332	1	1	0.6292682926829268	0.541463414634146
331.0	255.5	0.0	0.0	0.0	0.0	0.000854465	0.0405	0.078	0.0	chr1:113980618-113980948	ENST00000369551.5	1.0	0.125	GTAG	1	ENSG00000116774.12	518.0	8.0	5.0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	chr1	113980618	113980949	1	1	1.0	0.474320241691843
1735.0	39.0	0.66	16.0	1.0	0.2241222	0.00360021	0.0	0.0	0.0	chr1:114568257-114569991	ENST00000369541.4	1.0	0.0	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114568257	114569992	0	0	0.0	0.401729106628242
627.0	39.0	0.84	8.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1:114570073-114570699	ENST00000369541.4	0.8	0.0	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114570073	114570700	0	0	0.0	0.352472089314195
4839.0	39.0	0.74	48.0	2.0	0.3304781	0.00691427	0.0	0.0	0.0	chr1:114570751-114575589	ENST00000369541.4	0.6	0.0	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114570751	114575590	0	0	0.0	0.41496176896052894
936.0	41.0	1.61	22.0	0.0	0.1061079	0.00234976	0.0	0.0	0.0	chr1:114575752-114576687	ENST00000369541.4	0.4	0.024390243902439025	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114575752	114576688	0	0	0.0	0.384615384615385
4540.0	41.0	0.64	41.0	1.0	0.2428752	0.00234976	0.0	0.0	0.0	chr1:114576759-114581298	ENST00000369541.4	0.2	0.0	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114576759	114581299	0	0	0.0	0.4057268722466961
107.0	40.0	22.04	61.0	2.0	0.0	0.00581165	0.0	0.0	0.0	chr1:114581392-114581498	ENST00000369541.4	0.0	0.0	CTAC	1	ENSG00000116752.6	42.0	41.0	444.0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114581392	114581499	0	0	0.0	0.476635514018692
396.0	132.0	46.9	308.0	3.0	0.4833641	0.00090638	0.0	0.0	0.0	chr1:114718217-114718612	ENST00000438362.6	1.0	0.0	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718217	114718613	0	0	0.0	0.386363636363636
396.0	132.0	46.9	308.0	3.0	0.4833641	0.00090638	0.0	0.0	0.0	chr1:114718217-114718612	ENST00000339438.10	1.0	0.0	CTAC	1	ENSG00000009307.16	1896.0	1373.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718217	114718613	0	0	0.0	0.386363636363636
396.0	132.0	46.9	308.0	3.0	0.4833641	0.00090638	0.0	0.0	0.0	chr1:114718217-114718612	ENST00000261443.9	1.0	0.0	CTAC	1	ENSG00000009307.16	1896.0	77.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718217	114718613	0	0	0.0	0.386363636363636
833.0	132.0	5.55	54.0	20.0	2.080314	0.00699709	0.0	0.0	0.0	chr1:114718746-114719578	ENST00000438362.6	0.9444444444444444	0.0059880239520958105	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718746	114719579	1	1	0.2316926770708284	0.422569027611044
833.0	132.0	5.55	54.0	20.0	2.080314	0.00699709	0.0	0.0	0.0	chr1:114718746-114719578	ENST00000339438.10	0.9411764705882352	0.0059880239520958105	CTAC	1	ENSG00000009307.16	1896.0	1373.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718746	114719579	1	1	0.2316926770708284	0.422569027611044
833.0	132.0	5.55	54.0	20.0	2.080314	0.00699709	0.0	0.0	0.0	chr1:114718746-114719578	ENST00000261443.9	0.9375	0.0059880239520958105	CTAC	1	ENSG00000009307.16	1896.0	77.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114718746	114719579	1	1	0.2316926770708284	0.422569027611044
796.0	131.5	19.24	149.0	10.0	1.552608	0.00410995	0.0	0.0	0.0	chr1:114719743-114720538	ENST00000438362.6	0.8888888888888888	0.012987012987012988	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114719743	114720539	1	1	0.4057788944723618	0.353015075376884
796.0	131.5	19.24	149.0	10.0	1.552608	0.00410995	0.0	0.0	0.0	chr1:114719743-114720538	ENST00000339438.10	0.8823529411764706	0.012987012987012988	CTAC	1	ENSG00000009307.16	1896.0	1373.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114719743	114720539	1	1	0.4057788944723618	0.353015075376884
796.0	131.5	19.24	149.0	10.0	1.552608	0.00410995	0.0	0.0	0.0	chr1:114719743-114720538	ENST00000261443.9	0.875	0.012987012987012988	CTAC	1	ENSG00000009307.16	1896.0	77.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114719743	114720539	1	1	0.4057788944723618	0.353015075376884
3165.0	131.0	10.66	459.0	2.0	0.3536796	0.0006651710000000001	0.0	0.0	0.0	chr1:114720718-114723882	ENST00000438362.6	0.8333333333333334	0.0	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114720718	114723883	0	0	0.0	0.4075829383886261
3165.0	131.0	10.66	459.0	2.0	0.3536796	0.0006651710000000001	0.0	0.0	0.0	chr1:114720718-114723882	ENST00000339438.10	0.8235294117647058	0.0	CTAC	1	ENSG00000009307.16	1896.0	1373.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114720718	114723883	0	0	0.0	0.4075829383886261
3165.0	131.0	10.66	459.0	2.0	0.3536796	0.0006651710000000001	0.0	0.0	0.0	chr1:114720718-114723882	ENST00000261443.9	0.8125	0.0	CTAC	1	ENSG00000009307.16	1896.0	77.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114720718	114723883	0	0	0.0	0.4075829383886261
1218.0	128.5	4.64	63.0	2.0	0.6014754	0.000573142	0.0	0.0	0.0	chr1:114724003-114725220	ENST00000438362.6	0.7777777777777778	0.0006789986255582509	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114724003	114725221	1	1	0.2339901477832512	0.3678160919540229
1218.0	128.5	4.64	63.0	2.0	0.6014754	0.000573142	0.0	0.0	0.0	chr1:114724003-114725220	ENST00000339438.10	0.7647058823529411	0.0006789986255582509	CTAC	1	ENSG00000009307.16	1896.0	1373.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114724003	114725221	1	1	0.2339901477832512	0.3678160919540229
1218.0	128.5	4.64	63.0	2.0	0.6014754	0.000573142	0.0	0.0	0.0	chr1:114724003-114725220	ENST00000261443.9	0.75	0.0006789986255582509	CTAC	1	ENSG00000009307.16	1896.0	77.0	2011.0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114724003	114725221	1	1	0.2339901477832512	0.3678160919540229
877.0	132.5	15.02	198.0	0.0	0.04638041	0.0	0.0	0.0	0.0	chr1:114725334-114726210	ENST00000438362.6	0.7222222222222222	0.0	CTAC	1	ENSG00000009307.16	1896.0	167.0	2011.0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	114725334	114726211	0	0	0.0	0.408209806157355
